freq,unit,s_adj,na_item,geo,time,value
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2023-10-01,102.332
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2024-01-01,102.489
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2024-04-01,102.168
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2024-07-01,102.389
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2024-10-01,102.21
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2025-01-01,102.647
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,France,2019-01-01,108.456
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,France,2019-04-01,108.63
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,France,2019-07-01,108.359
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,France,2019-10-01,107.37
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,France,2020-01-01,101.844
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,France,2020-04-01,91.382
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,France,2020-07-01,103.861
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,France,2020-10-01,102.914
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,France,2021-01-01,102.864
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,France,2021-04-01,103.487
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,France,2021-07-01,105.206
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,France,2021-10-01,105.005
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,France,2022-01-01,104.252
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,France,2022-04-01,104.306
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,France,2022-07-01,104.561
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,France,2022-10-01,104.367
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,France,2023-01-01,103.953
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,France,2023-04-01,104.509
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,France,2023-07-01,104.47
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,France,2023-10-01,104.75
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,France,2024-01-01,104.637
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,France,2024-04-01,104.864
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,France,2024-07-01,105.282
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,France,2024-10-01,105.316
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,France,2025-01-01,105.551
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Italy,2019-01-01,107.93
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Italy,2019-04-01,107.827
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Italy,2019-07-01,107.358
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Italy,2019-10-01,107.353
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Italy,2020-01-01,101.225
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Italy,2020-04-01,91.652
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Italy,2020-07-01,103.906
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Italy,2020-10-01,103.218
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Italy,2021-01-01,105.352
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Italy,2021-04-01,107.081
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Italy,2021-07-01,108.77
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Italy,2021-10-01,109.95
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Italy,2022-01-01,110.811
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Italy,2022-04-01,111.108
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Italy,2022-07-01,111.76
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Italy,2022-10-01,110.467
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Italy,2023-01-01,110.315
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Italy,2023-04-01,110.186
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Italy,2023-07-01,110.032
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Italy,2023-10-01,108.833
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Italy,2024-01-01,109.063
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Italy,2024-04-01,108.95
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Italy,2024-07-01,108.146
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Italy,2024-10-01,108.333
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Italy,2025-01-01,107.178
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Euro area – 20 countries (from 2023),2019-01-01,97.316
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Euro area – 20 countries (from 2023),2019-04-01,98.018
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Euro area – 20 countries (from 2023),2019-07-01,97.8
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Euro area – 20 countries (from 2023),2019-10-01,97.914
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Euro area – 20 countries (from 2023),2020-01-01,98.817
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Euro area – 20 countries (from 2023),2020-04-01,101.594
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Euro area – 20 countries (from 2023),2020-07-01,99.345
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Euro area – 20 countries (from 2023),2020-10-01,100.244
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Euro area – 20 countries (from 2023),2021-01-01,100.743
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Euro area – 20 countries (from 2023),2021-04-01,99.792
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Euro area – 20 countries (from 2023),2021-07-01,100.094
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Euro area – 20 countries (from 2023),2021-10-01,100.224
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Euro area – 20 countries (from 2023),2022-01-01,99.743
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Euro area – 20 countries (from 2023),2022-04-01,100.121
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Euro area – 20 countries (from 2023),2022-07-01,100.404
