freq,indic_bt,nace_r2,s_adj,unit,geo,time,value
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2021-07-01,100.3
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2021-08-01,104.5
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2021-09-01,98.8
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2021-10-01,104.0
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2021-11-01,105.8
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2021-12-01,119.9
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2022-01-01,95.6
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2022-02-01,90.8
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2022-03-01,101.2
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2022-04-01,98.5
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2022-05-01,101.6
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2022-06-01,101.4
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2022-07-01,99.9
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2022-08-01,103.6
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2022-09-01,99.4
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2022-10-01,101.3
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2022-11-01,103.1
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2022-12-01,116.7
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2023-01-01,93.9
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2023-02-01,88.3
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2023-03-01,97.6
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2023-04-01,95.6
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2023-05-01,99.3
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2023-06-01,100.4
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2023-07-01,98.9
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2023-08-01,101.4
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2023-09-01,96.1
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2023-10-01,100.2
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2023-11-01,102.7
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2023-12-01,116.2
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2024-01-01,93.3
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2024-02-01,88.3
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2024-03-01,98.4
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2024-04-01,96.6
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2024-05-01,99.9
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2024-06-01,99.7
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2024-07-01,99.2
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2024-08-01,104.1
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2024-09-01,99.3
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2024-10-01,102.5
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2024-11-01,104.5
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2024-12-01,118.8
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2025-01-01,95.1
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2025-02-01,90.0
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2025-03-01,99.9
