time,tipo,value
2024-07-04,forecast,0.5%
2024-08-06,actual,3.9%
2024-08-06,forecast,0.4%
2024-09-05,actual,2.9%
2024-09-05,forecast,-1.6%
2024-10-07,actual,-5.8%
2024-10-07,forecast,-1.9%
2024-11-06,actual,4.2%
2024-11-06,forecast,1.6%
2024-12-05,actual,-1.5%
2024-12-05,forecast,-2.0%
2025-01-08,actual,-5.4%
2025-01-08,forecast,-0.3%
2025-02-06,actual,6.9%
2025-02-06,forecast,1.9%
2025-03-07,actual,-7.0%
2025-03-07,forecast,-2.4%
